question	answer
Hệ thống Enspire có chính sách ưu đãi gì cho khách hàng người mà đã giới thiệu khách hàng cho Enspire?	Chúng em sẽ đề xuất lãnh đạo nếu anh chị giới thiệu KH cho chúng em và sẽ có ưu đãi riêng tùy thao từng trường hợp cụ thể ạ.
Các giáo viên Enspire đã có kinh nghiệm giảng dạy trước khi làm việc cho Enspire?	 Để được trở thành giáo viên của Hệ thống Anh ngữ Quốc tế Enspire English các giáo viên phải trải qua quá trình tuyển dụng và chọn lọc, cũng như chương trình đào tạo và kiểm tra gắt gao trước khi vào lớp: Giao viên phải xuất trình bằng chứng đã từng giảng dạy ở các nước, các trình độ tương đương trình đọ đảm nhận giảng dạy;  Giáo viên phải dạy thử để đánh giá về phương pháp, phát âm và cách thức tổ chức giờ dạy; Giáo viên phải tham gia các lớp đào tạo thường xuyên về phương phá giảng dạy; chương trình giảng dạy và cách thức sử dụng phần mềm đào tạo của hệ thống Enspire. 
Học viên tham gia học tập các lớp tại Enspire được xếp theo năng lực tiếng anh hay độ tuổi?	Các học viên tham gia học tập tại Enspire được xếp lớp theo trình độ tiếng anh tại thời điểm đánh gia bằng cách tham gia các buổi kiểm tra năng lực tiếng anh đầu vào theo trình độ của giáo trình sẽ giảng dạy tại Enspire. Nếu có sự chênh lệch quá lớn theo khung độ tuổi quy định thì BPHT của Trung tâm sẽ phân tích đánh giá để sắp xếp học viên vừa phù hợp với trình độ đánh giá lại vừa phù hớp với độ tuổi của các cháu
Nếu các cháu học sinh có năng lực tiếng anh tốt hơn ở độ tuổi thì Enspire có xếp học sinh học lớp vượt độ tuổi không?	Hệ thống Enspire chúng em sắp xếp lớp học của các học viên theo trình độ tiếng anh nên việc này là thường xuyên sảy ra tại Enspire ạ. Tuy nhiên chúng em sẽ có tư vấn để Phụ huynh hiểu được một số bất lợi khi học sinh học vượt độ tuổi để quý phụ huynh cân nhắc thêm việc nên hay không nên ạ. 
Anh/ chị cho tôi tham khảo mức giá học phí tính trên một giờ học của Enspire với các trung tâm tiếng anh cùng cấp được không? 	
Mỗi học sinh đến Enspire có thể tham gia học thử bao nhiêu buổi?	Mỗi học viên Enspire sau khi tham gia đánh giá năng lực tiếng anh đầu vào sẽ được phân loại ở một trình độ học nhất định và tại trình độ học đó con sẽ được học thử tối đa 03 buổi học.
Các chi nhánh Enspire có cam kết giữ mức giá như nhau cho các năm sau không? Lộ trình tăng giá như thế nào?	Các chi nhánh Enspire sẽ không cam kết về giá cho các năm sau vì Enspire là hệ thống kinh doanh giáo dục nên sẽ bị tác động bởi những nhân tố thị trường cũng như 1 số yếu tố khác làm ảnh hưởng đến giá như: chi phí thuê mặt bằng, nhân công và các chi phí khác trong hoạch toán giá. Tuy nhiên, có một giải pháp tốt cho phụ huynh nếu muốn giữ mức giá cũng như ưu đãi tại thời điểm hiện tại là hay đăng ký lộ tình học tập dài cho con. Enspire cam kết không thu thêm học phí/khóa học nếu phụ huynh đã đóng tiền khóa học đó. Lộ trình tăng giá sẽ phụ thuộc vào các yếu tố làm tăng chi phí và tăng không quá tỷ lệ lạm phát của nền kinh tế.
Học sinh khi muốn tham gia các lớp học tại Enspire có phải tham gia kiểm tra đầu vào không? 	Tất cả học sinh muốn tham gia học các lớp tại Enspire đều phải làm bài kiểm tra đầu vào để xác định trình độ và được xếp lớp phù hợp như một điều kiện bắt buộc. Lứa tuổi dưới 6 chỉ kiểm tra kỹ năng nói. Lứa tuổi trên 6 trở lên kiểm tra hai kỹ năng nói và viết. 
Học sinh dưới 6 tuổi muốn tham gia học tại Enspire có phải tham gia kiểm tra tiếng anh đầu vào không?	Do trình độ dưới 6 tuổi tại Enspire có 3 level tương đương 3 khóa học do đó học sinh phải tham gia kiểm tra tiếng anh đầu vào để xếp vào các level và khóa học phù hợp. Học sinh lứa tuổi này chỉ kiểm tra kỹ năng nói từ 5 đến 10 phút với GVNN. 
Học sinh đang theo học tại Enspire do có những lý do chính đáng phải tạm ngừng học từ 4 buổi trở lên có được học bù hay bảo lưu số buổi đó không?	
Học viên đang theo học Enspire vì những lý do chính đáng không tham gia đánh giá kết quả học tập( không tham gia kiểm tra giữa kỳ và cuối kỳ) thì có được tham gia kiểm tra đánh giá lại không?	Học viên có quyền được tham gia kiểm tra đánh giá lại nếu chưa tham gia đánh giá. BPHT của Chi nhánh sẽ có trách nhiệm sắp xếp cho học viên đánh giá phù hợp với lịch của cháu
Nội dung kiểm tra đầu vào khi học sinh học muốn tham gia học tại Enspire là gì?	"Tùy vào từng độ tuổi và trình đọ sẽ có các bài kiểm tra khác nhau:
1. HK: thi nói (speaking)
2. SK, SupK: nói (speaking)  + viết (writtng)
3. GE và PE: nói (speaking)  + viết (writtng) + đọc (reading)
4. IELTS: nói (speaking)  + viết (writtng) + đọc (reading) + nghe (listenning)"
Thời gian kiểm tra đầu vào cho các trình độ tại Enspire là bao lâu?	Dưới 6 tuổi test ở trình độ HK ( Set 1,2 và 3) thời gian test nói từ 5 đến 10 phút; Từ 6 đến 11 tuổi test ở trình độ SK, thời gian test nói 5 đến 10 phút và test viết 20 phút. Từ 12 đến 16 tuổi test ở trình độ SupK, thời gian test nói từ 5 đến 10 phút và test viết 80 phút gồm ba nội dung( đọc hiểu, từ vựng và viết đoạn văn)
Học sinh có thể vào một lớp đang chạy của Enspire ở trình độ tương đương được không?	Học sinh có thể học vào một lớp đang chạy của Enspire ở trình độ tương đương được. Tuy nhiên để đảm bảo đầu ra của lớp học thì BPHT quy định con không được vào sau 8 buổi. Nếu phụ huynh cứ nhất quyết cho con vào lớp học có số buổi đã học lớn hơn thì bên Enspire sẽ không đảm bảo được chất lượng đầu ra của lớp học ạ. Với học sinh vào lớp đúng quy định thì những buổi vào muộn con sẽ được học phụ đạo riêng để theo được lớp học ạ. 
Nếu học sinh kiểm tra đầu vào ở một trình độ nhưng con học thấy không phù hợp thì cách giải quyết như thế nào?	Học sinh sẽ được sắp xếp học demo lại tại lớp trên hoặc dưới một trình độ để đánh giá chính xác mức độ phù hợp của con trước khi vào lớp chính thức. 
Nếu con test ở một trình độ nhưng bố mẹ mong muốn con học trên một trình độ có được không?	Enspire khuyên phụ huynh không nên cho con lên trình độ cao hơn trình độ con đã được xếp trên cơ sở kiểm tra đầu vào. Tuy nhiên tùy trường hợp cụ thể có thể cân nhắc cho con học trên một trình độ nếu con tiếp thu nhanh, bố mẹ có thể kèm cặp con thường xuyên. 
Con tôi học SK2A, bạn thân học lớp SK1b, tôi muốn cho con học cùng SK1b để tiện đưa đón 2 con.	"Từ chối việc này. Thưa anh/chị việc phân lớp khi học Tiếng Anh căn cứ vào việc kiểm tra trình độ hơn nữa mục tiêu của gia đình và nhà trường là bé có thể sử dụng tốt Tiếng Anh, nên em mong gia đình sẽ ưu tiên cho nhiệm vụ này trước. Kết thúc khóa học này, khi 2 bé chuẩn bị sang khóa tiếp theo, Enspire sẽ cố gắng sắp xếp để 2 bé cùng học 1 lịch để anh/chị thuận tiện đưa đón, trong trường hợp không được, rất mong anh/chị thông cảm.
Anh/chị cố gắng sắp xếp"
Ca học tại hệ thống anh ngữ Enspire thông thường như thế nào?	Nếu không phải cuối tuần thì ca học của Enspire là: Ca1: 5h30 đến 7h; Ca 2: 7h30 đến 9h. Ngày cuối tuần Enspire còn có các ca học ngày như sau: Sáng 9h đến 10h30; Chiều: 2h30 đến 4h; 4h 30 đến 6h; 6h đến 7h30. Lịch học có thể được xếp theo từng lớp theo nhu cầu của học viên và phụ huynh lớp học đó.
Lớp học Enspire có thể chức chỉ 01 buổi/tuần không?	Để đảm bảo hiệu quả của việc học tiếng anh thì Hệ thống anh ngữ Enspire không thể tổ chức lớp học 1 buổi/ tuần. Nghiên cứu khoa học đã chỉ ra việc học 2 buổi/ 1 tuần là đảm bảo hiệu quả cho việc học tiếng anh. Nếu học viên học 1 buổi 1 tuần sau 1 tuần  cháu chỉ nhớ được 10 – 15% kiến thức mà thôi. Nếu học viên học 2 buổi 1 tuần thì  sẽ nhớ được 45-50%  nội dung đã được học trên lớp.
Tôi thấy giáo viên dạy quá nhanh so với trình độ con tôi (lớp Demo)	Ghi nhận ý kiến của phụ huynh và có thể cho con test đầu vào để xếp lớp học trial phù hợp
Các con tham gia vào giữa khóa học như thế có ảnh hưởng gì đến việc học của con không?	Trước khi học sinh đăng ký học tại Enspire English, các bạn sẽ có một bài kiểm tra đầu vào để đánh giá và đảm bảo học sinh sẽ được xếp vào lớp học phù hợp nhất với trình độ của mình. (Sales mời học thuật để tư vấn thêm cho phụ huynh trong các trường hợp vào giữa khóa). Các buổi con chưa được học của khóa sẽ được Enspire tổ chức học phụ đạo để đảm bảo con theo kịp khóa học
Học ở trình độ HKthì các con có cần biết viết không? Viết như thế nào cho đúng cách?	"Chương trình HKcủa Enspire được xây dựng theo phương pháp trực quan sinh động và phản xạ toàn thân tức là học viên sẽ được học thông qua các hình ảnh, đồ vật thực để ghi nhớ từ mới, học thông qua các hình thức vận động và vui chơi để từ đó các con ghi nhớ các từ mới và cấu trúc câu đơn giản vì vậy việc ghi nhớ không phụ thuộc vào khả năng viết của con. 
Tuy nhiên, không phải là bé hoàn toàn không viết, mà trong sách thực hành học ở trên lớp, các bé vẫn được giáo viên hướng dẫn tô chữ và điền chữ còn thiếu trong mỗi từ vựng, và việc các bé tư duy ngôn ngữ bằng hình ảnh nên bé vẫn nhớ số lượng từ mới nhất định của mỗi bài và theo Chương trình học bình thường và lúc này không gọi là viết chứ mà là vẽ chữ không đòi hỏi quá chính xác cách cầm bút và đưa nét."
Tại sao mỗi buộc vắng học của bé trên lớp chỉ được phụ đạo 30 phút?	Trong lớp học bổ sung này, các thầy/cô sẽ ưu tiên truyền đạt đến các bạn phần quan trọng của bài học bao gồm từ mới, câu chuyện chủ đề, các hiện tượng ngữ pháp quan trọng. Nếu tính quy mô lớp học bình thường 12 học viên thì việc mỗi giờ học các con chỉ được tương tác một mình với GVNN khoảng 30 phút còn lại là các hoạt động chung, nhóm và cặp đôi. Do vậy, học một mình các con chỉ cần 30 phút là đảm bảo lĩnh hội được kiến thức. 
Trong lớp Demo, tôi thấy giáo viên không tương tác nhiều với học sinh, học sinh phát âm sai không được giáo viên sửa.	"Vì đây là lớp Demo nên không muốn tạo sức ép cho học sinh.
Sự tương tác giữa giáo viên và học sinh trong các lớp học chính thức sẽ nhiều hơn và theo từng chủ đề cụ thể của buổi học. Trong các lớp chính thức giáo viên sẽ chỉnh sửa phát âm của học sinh."
Ngoài việc học tiếng anh trên lớp thì học sinh Enspire có cần cần học thêm tiếng anh ở nhà không? Phương pháp học tiếng anh tại nhà như thế nào là hiệu quả?	Khoa học đã chứng minh thời lượng học tiếng anh có liên quan đến kết quả học tiếng anh. Điều này có nghĩa càng giành thời gian học tiếng anh nhiều thì kết quả học tiếng anh càng tốt. Vậy để đạt kết quả tiếng anh tốt cần phải tự học thêm tiếng anh ở nhà ngoài số giờ học trên lớp là vô cùng cần thiết. Vậy những cách thức nào để tự học tiếng anh tại nhà? Trước hết các học viên cần ôn lại kiến thức đã học trên lớp bằng cách truy cập vào tài khoản giáo trình đã được Enspire cấp. Học mở rộng vốn từ và nghe thông qua chủ để học trên lớp. Ngoai ra,  bố mẹ có thể khuyến khích và dành thời gian nhất định cho con mỗi ngày khoảng 20-30 phút nghe nhạc, đọc truyện hoặc xem phim Tiếng Anh (không phụ đề Việt) phù hợp với tuổi của con. Nếu bố mẹ có thời gian hơn nữa có thể đưa các con đến nơi có nhiều người nước ngoài để các con có điều kiện luyện thêm phần nói và giao tiếp với người nước ngoài.
Sau 6 tháng học tại Enspire tôi thấy con tôi vẫn chưa phát âm chuẩn như mong muốn. Có cách nào giúp con tôi phát âm tốt hơn mỗi ngày không?	Thói quen phát âm là thói quen khó sửa nhất trong các năng của người học tiếng anh nhất là những bạn học viên không có môi trường thường xuyên như vậy việc bé của bạn học 6 tháng những chưa cải thiện được phát âm là điều bình thường bạn không nên quá lo lắng mà hãy chú ý đến việc tìm hiểu nguyên nhân của vấn đề. Thứ nhất bé có thường xuyên tiếp xúc với tiếng anh chuẩn không? đặc biệt là kỹ năng nghe. Với các bé độ tuổi HKthì các bé học tiếng anh theo phương pháp bắt chước là hiệu quả nhất vậy bé chỉ có thể phát âm tốt nếu bé nghe nhiều và nghe phát âm chuẩn thì bé sẽ phát âm chuẩn. Mỗi ngày bé cần nghe chủ động 1 h đồng hồ tiếng anh chuẩn thông qua bài hát, chuyện, hoạt hình, phim... Và nên nghe thụ động thường xuyên. Bạn có thể cho bé nghe thụ động khi về nhà ngồi chơi, tắm, ăn và ngay cả khi lên xe oto. Hãy khuyến khích bé nói tiếng anh thường xuyên và liên tục những từ và chủ đề thân quen cuộc sống. Lưu ý nếu gia đình có người phát âm không chuẩn hãy hạn chế tiếp xúc với bé bằng tiếng anh. 
Tại sao con anh/chị (trìnhđộ Kindy1, HK2) học xong về nhà anh/chị hỏi lại bài (nghĩa của từ sang Tiếng Việt, hoặc ngược lại) thì bé không trả lời được?	Trước hết em xin gửi đến anh/ chị lời khuyên là anh/chị không nên yêu cầu các cháu mần non dịch tiếng Anh ra tiếng Việt, đó là phương pháp sai trong việc học ngoại ngữ ạ. Ở lứa tuổ mầm non việc học ngoại ngữ nhằm hướng đến các mục tiêu: Thứ nhất, giúp bé làm quen và yêu thích việc học tiếng anh thông qua việc học với phương pháp học mà chơi, chơi mà học. Thư hai, giúp bé phát âm chuẩn như giáo viên bản ngữ thông qua việc bắt chước khẩu hình và khẩu âm. Thư ba, giúp bé phản xạ nhanh bằng cách tư duy bằng tiếng anh nên không qua việc dịch ra tiếng Việt. Muốn vậy, với trình độ này, các con sẽ học từ mới bằng hình ảnh, hiểu nghĩa của từ thông quan hình ảnh. Liên hệ từ với những từ ngữ Tiếng Anh khác mà không liên quan đến tư duy thông qua tiếng Việt. Và rõ ràng, các bạn đến chi nhánh để học Tiếng Anh, nên việc rèn luyện cho các bạn tập tư duy bằng Tiếng Anh là vô cùng cần thiết và quan trọng.
Nội dung học trên lớp của các học viên Enspire gồm những gì?	Học kiến thức theo các chủ đề; các hoạt động trò chơi như vẽ, tô màu, thực hành làm các dự án nhỏ hoặc viết bài để ôn tập lại bài, nhưng cũng được cơ cấu trong chương trình; Ở một số chương trình có thể có các bài thi thử Cambridge.
Bạn có thể giới thiệu ngắn gọn về Hệ thống anh ngữ Enspire được không?	"
Enspire English Australia là hệ thống trường anh ngữ quốc tế từ Australia, có trụ sở tại Australia, tại VN tập đoàn TMS Group đã mua thương hiệu và chuyển giao về Việt Nam được 3 năm, hiện nay Enspire english có 12 chi nhánh, trong đó có 10 tại HN. Mục tiêu giảng dạy tiếng anh của bên em là theo đường hướng giao tiếp nghĩa là chương trình học, phương pháp học sẽ giúp người học có thể nghe nói tiếng anh thông thạo ạ.  Với khẩu hiệu ""Take it easily"" - biến việc học tiếng anh trở nên dễ dàng hơn, Enspire English sử dụng phương pháp ""lấy người học là trung tâm"" của quá trình dạy và học, điều này khiến học viên luôn cảm thấy thích thú hơn khi đi học cũng như giúp học viên thu tiếp dễ dàng hơn với tiếng anh, ngoài các giờ học trên lớp thì Enspire có rất nhiều hoạt động ngoai khóa để giúp người học có môi trường để thực hành các kiến thức đã học trên lớp. Enspire English sử dụng 100% giáo viên bản ngữ, có bằng tốt nghiệp đại học trở lên và 100% có chứng chỉ nghiệp vụ dạy ngoại ngữ, điều này giúp Enspire luôn đảm bảo chất lượng của khóa học. Hệ thống chương trình toàn diện và có phân theo trình độ lứa tuổi rất rõ ràng giúp cho người học học có lộ trình bài bản. "
Tôi đến Enspire để trải nghiệm những nhân viên phụ vụ ở đây không có thái độ văn minh nên tôi không thích quay lại nữa.	Đầu tiên em xin thay mặt Enspire thật sự xin lỗi anh chị về thái độ bất kính của nhân viên phục vụ bên em ạ. Rất mong anh chị cho chúng em một cơ hội phục vụ anh/chị. Anh/ chị hãy cho em lịch hẹn anh/ chị có thể đến để hôm đó đích thân em sẽ xuống đón anh chị và đồng thời em sẽ kiểm tra lại từ hệ thống Camera sự việc hôm anh/ chị đến để có biện pháp xử phạt nghiêm minh ạ.
Nếu chi nhánh bất ngờ dừng hoạt động hoặc chuyển đi nơi khác không thuận tiện cho việc học của con thì tiền tôi đã đặt cọc và đóng tiền thì xử lý như thế nào?	Với chiến lược phát triển lâu dài và là một công ty chuyên ngành giáo dục ở Việt Nam, mặt khác anh chị thấy đấy Hệ thống anh ngữ Enspire chúng em đầu tư cơ sở vật chất cho từng Chi nhánh như thế này thì chắc chắn điều anh chị lo lắng sẽ không xảy ra ạ. Anh chị cứ yên tâm đầu tư cho con học lâu dài ở đây ạ. Nếu vì trường hợp bất khả kháng thì bên Enspire sẽ hoàn đầy đủ học phí cho học viên ạ.
Có những công cụ gì được sử dụng trong giảng dạy tại Hệ thống anh ngữ Enspire	Để giờ dạy sinh động giúp các học viên Enspire hứng thú với bài học thì Hệ thống anh ngữ Enspire sử dụng các phương tiện sau: Bảng tương tác, Flastcard, các công dạy học trực quan, các trò chơi vận động , robot
Con tôi sau 2 tháng học tại Enspire English kết quả môn Tiếng Anh có khá lên nhưng các môn học khác lại kém đi tôi rất lo lắng về tình trạng này.	Cảm ơn anh chị đã chia sẻ tình trạng học các môn học của cháu. Em nghĩ cũng là điều rất bình thường thôi ạ và điều đó nói lên cháu đã sử dụng hiêu quả quỹ thời gian và đang đam mê tiếng anh ạ. Theo em anh/chị và cháu cần xem xét lại mục tiêu học tập của mình một cách hợp lý nhất để tránh mất thời gian, tài chính và quan trọng là sức lực của các con và cần chấp nhận sự đánh đổi nào đó cho mục tiêu đặt ra của mình để cháu và gia đình cảm thấy thoải mái và chấp nhận được kết quả học tập chúng của các môn khác. Nếu anh/ chị dự định cho cháu đi du học thì việc tập trung thời gian học tiếng anh là hợp lý vì đó là phương tiên cần thiết nhất cho cháu bước ra thế giới cháu có học giỏi các môn khác thì cháu vừa vất vả trong học tập mà ra các nước khác cũng không sử dụng vậy rất lãng phí thời gian và sức lực của cháu va gia đình ạ. Nếu anh chị muốn cho cháu theo học trong nước thì anh chị nên cùng cháu bàn bạc lại để cân đối quỹ thời gian học tập tiếng anh và các môn khác ạ. Chúc anh chị và cháu xây dựng được mục tiêu học tập phù hợp và có được thời khóa biểu học tập phù hợp ạ.
Con tôi đã học tại Enspire gần hết một khóa 3 tháng mà cháu vẫn chữa tự tin giao tiếp tiếng anh với bạn và người nước ngoài.	"Thưa anh chị việc thay đổi một thói quen thì cần nhiều thời gian hơn 3 tháng đặc biệt với các cháu lớn nữa thì thời gian lại cần dài hơn mong anh chị động viên cháu để cháu ngày càng tự tin hơn ạ. Nếu anh chị không động viên mà có ý than phiền hay chỉ trích cháu thì cháu sẽ bị áp lực và càng khó thay đổi ạ. có thể thời gian đầu cháu vẫn chưa quen với môi trường học mới, tuy nhiên điều này sẽ cải thiện các bé sẽ được khuyến khích để chủ động trong giao tiếp, tự tin khi phát biểu ý kiến. Hơn nữa trong lớp bé liên tục được giao tiếp theo chủ đề nên anh chị cứ yên tâm về sự phát triển của bé, em cũng sẽ nhờ giáo viên của lớp chú ý tới bé nhà mình hơn để khuyến khích cháu giao tiếp. Ngoài ra chị có thể đưa cháu ra công viên hoặc những chỗ có người nước ngoài để cháu có thêm thời gian tiếp xúc với người nước ngoài hơn ạ.
Và cũng chia sẻ với anh chị học một ngôn ngữ là cả một quá trình bền bỉ, nên các anh/chị cũng không nên quá lo lắng, kết thúc 1 khóa với Enspire English các anh/chị sẽ nhận thấy sự tiến bộ rõ rệt của bé hơn ạ."
Hiện nay cháu đang tập trung cho việc ôn tập thi học kỳ ở lớp nên cháu tạm ngừng việc học tiếng anh tại trung tâm 	Cảm ơn anh/chị đã chia sẻ việc học của cháu ạ. Việc học tiếng anh nên được duy trì thường xuyên liên tục hàng ngày mới đảm bảo hiệu quả ạ. Thời gian này nếu cháu bận ôn thi anh chị có thể giảm thời gian học ở nhà chứ việc học tại trun tâm chỉ có 3h/tuần anh chị nên duy trì để cháu theo lớp theo bài đảm bảo liên tục ạ. 
Tôi nghe nhân viên tư vấn Enspire trình bày trong các bài học của giáo trình Enspire có lồng nghép các kiến thức khoa học tự nhiên và khoa học xã hội, vậy nội dung học là gì?	Với khoa học tự nhiên các con sẽ làm quên với các từ vựng khoa học, giải thích các hiện tượng khoa học đơn giản có thể làm các thí nghiệm. Với khoa học xã hội các con sẽ làm quen với các bài học mang tính giáo dục đạo đức, tìm hiểu các văn hóa các vùng miền, địa lý và lịch sử các vùng miền trong các bài đọc tiếng anh tại lớp trong giáo trình học tại Enspire ạ.
Tôi muốn cho con học thử một tháng rồi nếu thấy tốt mới đăng ký 01 năm sau.	Bé được học thử 3 buổi hoặc có thể tham gia các lớp phonics, gramma…miễn phí tại Chi nhánh thời gian học có thể lên đến 1 tháng ạ. Để tối đa lợi ích, hưởng thụ đầy đủ các giá trị dịch vụ bên Enspire anh/chị nên đóng học phí cho con theo 1 lộ trình ạ. 
Các công cụ tư duy mà giáo viên nước ngoài giảng dạy tại Enspire dùng để truyền đạt kiến thức cho các học viên bao gồm những gì?	6 chiếc mũ tư duy; Mind Map; Brain Storming; 5W1H, Thay đổi gọc nhìn, liên hệ hình ảnh, tư duy nhiều phía
